id, Code ,Date, Customer , Qty Input (Kg) , Qty Output (Kg) , Output/Hr , Lot #'s ,Screw Config., MC # , Feed Rate , RPM ,Screen,Z13,Z12, Z11 , Z10 , Z9 , Z8 , Z7 , Z6 , Z5 , Z4 , Z3 , Z2 , Z1 , Resin used , REMARKS 
1211,TA13713E,17-Nov-21,INCON,, 54.46 , 65.35 ,9377AG,STD,5,150,300,40/40,,,180,180,180,180,180,180,180,180,180,200,180,,
1212,MA13810E,17-Nov-21,INCON(corr),, 25.74 , 40.64 ,9311AG,STD,3,30,40,40/40,,,,,,,180,180,180,180,180,200,180,,
1213,DA9936E,17-Nov-21,TRADESPHERE,, 24.62 , 29.54 ,9378AG,STD,5,200,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1214,WA14068E,15-Nov-21,Zeller,, 103.74 , 95.76 ,9371AG-9372AG,STD,8,12,200,40/40,,,190,190,180,180,180,180,180,180,180,200,200,,
1215,GA1225E,18-Nov-21,SMYPC-MPP,," 6,801.23 ", 120.20 ,9406AG-9542AG,STD,5,180,400,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1216,WA1400E,18-Nov-21,INCON,, 286.81 , 286.81 ,9403AG-9405AG,STD,7,25,160,60/60,,,,120,120,150,150,150,170,170,170,180,180,,VACUUM ON
1217,WA5835E,18-Nov-21,CEBU JUNTRADE,," 1,024.34 ", 201.51 ,9386AG-9395AG,STD,7,40,150,60/60,,,,120,120,140,140,140,160,170,180,200,200,,VACUUM ON
1218,YA12705E,17-Nov-21,PLEXCO,, 128.00 , 71.78 ,9396AG-9398AG,STD,5,20,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1219,RA12706E,18-Nov-21,PLEXCO,, 255.27 , 56.52 ,9380AG-9385AG,STD,3,30,40,40/40,,,,,,,130,130,150,150,150,150,150,,
1220,BA12615E,18-Nov-21,PLEXCO,, 127.02 , 59.54 ,9399AG-9401AG,STD,3,30,40,40/40,,,,,,,130,130,150,150,150,150,150,,
1221,BA4365E,17-Nov-21,INCON(corr),, 53.60 , 45.94 ,9402AG,STD,3,30,40,40/40,,,,,,,180,180,180,180,180,200,180,,
1222,BA12556E,19-Nov-21,PACKAGE WORLD,, 102.67 , 51.34 ,9557AG-9559AG,STD,8,25,140,60/60,,,160,150,140,140,140,140,140,140,140,140,150,,
